D,E
0.5,-100.61161344815164
0.55,-102.5172389325731
0.6,-103.93173260921711
0.65,-104.98373842130886
0.7,-105.76498509827749
0.75,-106.34255534712857
0.8,-106.76630791562252
0.85,-107.07369210375032
0.9,-107.29307576850888
0.95,-107.44609106093407
1.0,-107.549300957907
1.05,-107.61540330163167
1.1,-107.65412244752262
1.15,-107.67288497366806
1.2,-107.67733974921174
1.25,-107.67176199371026
1.3,-107.65936966531886
1.35,-107.64257325614486
1.4,-107.62317417806328
1.45,-107.60252178251496
1.5,-107.58163492218824
1.55,-107.56129117582763
1.6,-107.54208576584894
1.65,-107.52446327671242
1.7,-107.50872872753226
1.75,-107.49504899625285
1.8,-107.48345735059995
1.85,-107.47386970046377
1.9,-107.46611285401566
1.95,-107.45995851421014
2.0,-107.45515559764274
2.05,-107.45145604744822
2.1,-107.44863242271913
2.15,-107.44648766278532
2.2,-107.44485854902105
2.25,-107.44361478739019
2.3,-107.44265552060729
