basis,D,E,converged
sto-6g,1.0,-17.28596895382225,True
sto-6g,1.1,-17.772118127031305,True
sto-6g,1.2,-17.95824320762081,True
sto-6g,1.3,-17.964008937348197,True
sto-6g,1.4,-17.86686085752126,True
sto-6g,1.5,-17.71869399828624,True
sto-6g,1.6,-17.55517752093165,True
sto-6g,1.7,-17.401146178094706,True
sto-6g,1.8,-17.272761403805987,True
sto-6g,1.9,-17.17582355386662,True
sto-6g,2.0,-17.10713125476957,True
sto-6g,2.1,-17.06023788318133,True
sto-6g,2.2,-17.028731907884328,True
sto-6g,2.3,-17.00743037633592,True
sto-6g,2.4,-16.992705195630457,True
sto-6g,2.5,-16.957304575660608,False
sto-6g,2.6,-16.955875316180006,False
sto-6g,2.7,-16.956891902881125,False
sto-6g,2.8,-16.95760808294243,False
sto-6g,2.9,-16.95652496160897,True
sto-6g,3.0,-16.956698608753193,True
